G_6,D_18,u179,1643190588,2022-01-26 17:49:48
G_7,D_10,u151,1643190649,2022-01-26 17:50:49
G_6,D_12,u125,1643190739,2022-01-26 17:52:19
G_1,D_16,u184,1643190849,2022-01-26 17:54:09
G_4,D_12,u122,1643190890,2022-01-26 17:54:50
G_9,D_18,u140,1643190990,2022-01-26 17:56:30
G_1,D_19,u196,1643191087,2022-01-26 17:58:07
G_5,D_16,u123,1643191148,2022-01-26 17:59:08
G_4,D_11,u108,1643191244,2022-01-26 18:00:44
G_5,D_10,u136,1643191327,2022-01-26 18:02:07
G_6,D_19,u122,1643191420,2022-01-26 18:03:40
G_4,D_10,u123,1643191472,2022-01-26 18:04:32
G_7,D_19,u115,1643191523,2022-01-26 18:05:23
G_5,D_19,u156,1643191627,2022-01-26 18:07:07
G_7,D_16,u137,1643191694,2022-01-26 18:08:14
G_6,D_20,u134,1643191738,2022-01-26 18:08:58
G_8,D_14,u183,1643191773,2022-01-26 18:09:33
G_6,D_19,u191,1643191827,2022-01-26 18:10:27
G_4,D_19,u114,1643191884,2022-01-26 18:11:24
G_4,D_14,u146,1643191923,2022-01-26 18:12:03
G_5,D_14,u162,1643191962,2022-01-26 18:12:42
G_7,D_13,u130,1643191996,2022-01-26 18:13:16
G_6,D_17,u184,1643192088,2022-01-26 18:14:48
G_2,D_19,u155,1643192173,2022-01-26 18:16:13
G_8,D_11,u172,1643192237,2022-01-26 18:17:17
G_6,D_10,u124,1643192275,2022-01-26 18:17:55
G_1,D_18,u112,1643192357,2022-01-26 18:19:17
G_6,D_16,u167,1643192474,2022-01-26 18:21:14
G_6,D_20,u117,1643192591,2022-01-26 18:23:11
G_7,D_19,u188,1643192696,2022-01-26 18:24:56
G_4,D_19,u180,1643192759,2022-01-26 18:25:59
G_8,D_20,u110,1643192838,2022-01-26 18:27:18
G_1,D_19,u137,1643192935,2022-01-26 18:28:55
G_1,D_13,u180,1643192966,2022-01-26 18:29:26
G_4,D_17,u200,1643193076,2022-01-26 18:31:16
G_2,D_17,u179,1643193184,2022-01-26 18:33:04
G_9,D_15,u182,1643193295,2022-01-26 18:34:55
G_1,D_17,u178,1643193398,2022-01-26 18:36:38
G_4,D_17,u104,1643193449,2022-01-26 18:37:29
G_2,D_12,u126,1643193480,2022-01-26 18:38:00
G_6,D_15,u154,1643193534,2022-01-26 18:38:54
G_5,D_12,u199,1643193651,2022-01-26 18:40:51
G_4,D_13,u116,1643193739,2022-01-26 18:42:19
G_1,D_12,u140,1643193851,2022-01-26 18:44:11
G_5,D_14,u179,1643193916,2022-01-26 18:45:16
G_3,D_18,u192,1643193976,2022-01-26 18:46:16
G_3,D_10,u196,1643194032,2022-01-26 18:47:12
G_7,D_18,u174,1643194089,2022-01-26 18:48:09
G_2,D_10,u103,1643194152,2022-01-26 18:49:12
G_3,D_16,u115,1643194269,2022-01-26 18:51:09
G_5,D_19,u127,1643194345,2022-01-26 18:52:25
G_5,D_17,u126,1643194414,2022-01-26 18:53:34
G_9,D_19,u160,1643194455,2022-01-26 18:54:15
G_9,D_15,u110,1643194534,2022-01-26 18:55:34
G_6,D_11,u122,1643194572,2022-01-26 18:56:12
G_1,D_12,u146,1643194632,2022-01-26 18:57:12
G_5,D_11,u142,1643194716,2022-01-26 18:58:36
G_1,D_17,u147,1643194813,2022-01-26 19:00:13
G_2,D_18,u186,1643194858,2022-01-26 19:00:58
G_1,D_16,u105,1643194894,2022-01-26 19:01:34
G_4,D_16,u119,1643194956,2022-01-26 19:02:36
G_7,D_14,u180,1643194999,2022-01-26 19:03:19
G_5,D_16,u153,1643195118,2022-01-26 19:05:18
G_4,D_14,u149,1643195171,2022-01-26 19:06:11
G_4,D_15,u183,1643195224,2022-01-26 19:07:04
G_8,D_15,u192,1643195319,2022-01-26 19:08:39
G_2,D_14,u160,1643195427,2022-01-26 19:10:27
G_1,D_14,u177,1643195545,2022-01-26 19:12:25
G_8,D_10,u168,1643195593,2022-01-26 19:13:13
G_6,D_16,u148,1643195696,2022-01-26 19:14:56
G_3,D_20,u134,1643195797,2022-01-26 19:16:37
G_7,D_18,u185,1643195905,2022-01-26 19:18:25
G_9,D_19,u154,1643195996,2022-01-26 19:19:56
G_6,D_11,u169,1643196099,2022-01-26 19:21:39
G_1,D_18,u142,1643196205,2022-01-26 19:23:25
G_6,D_16,u135,1643196243,2022-01-26 19:24:03
G_4,D_19,u183,1643196362,2022-01-26 19:26:02
G_2,D_18,u172,1643196470,2022-01-26 19:27:50
G_9,D_18,u155,1643196566,2022-01-26 19:29:26
G_8,D_10,u121,1643196613,2022-01-26 19:30:13
G_4,D_13,u160,1643196651,2022-01-26 19:30:51
G_1,D_13,u163,1643196757,2022-01-26 19:32:37
G_5,D_11,u112,1643196821,2022-01-26 19:33:41
G_7,D_13,u137,1643196911,2022-01-26 19:35:11
G_6,D_15,u163,1643196954,2022-01-26 19:35:54
G_2,D_10,u200,1643197010,2022-01-26 19:36:50
G_6,D_20,u133,1643197086,2022-01-26 19:38:06
G_6,D_11,u187,1643197190,2022-01-26 19:39:50
G_7,D_16,u198,1643197260,2022-01-26 19:41:00
G_9,D_16,u154,1643197307,2022-01-26 19:41:47
G_1,D_16,u137,1643197388,2022-01-26 19:43:08
G_4,D_11,u111,1643197477,2022-01-26 19:44:37
G_5,D_15,u123,1643197544,2022-01-26 19:45:44
